No.,Location,geo_State,Full_address,Latitude,Longitude,Fee_Type,ERU(ft2),Fee,Year Created,Population,geo_Accuracy Score,geo_Zipcode
556,Dyer,IN,Dyer IN,41.4944653,-87.5239165,E,4343,6,1991,13895,1,46311
557,Elkhart County,IN,Elkhart County IN,41.5978827,-85.9981084,E,3600,1.25,,2008,1,
558,Farmersburg,IN,Farmersburg IN,39.2518702,-87.4003421,V ,,,,1107,1,47850
559,Fishers,IN,Fishers IN,39.964003,-86.1093958,E ,3318,6.66,,79127,1,46038
560,Floyd County,IN,Floyd County IN,38.2993667,-86.0369381,E ,3700,3.25,2007,70823,1,
561,Fort Wayne,IN,Fort Wayne IN,41.0825282,-85.2909823,E ,2500,5.15,,255824,1,46802
562,Fortville,IN,Fortville IN,39.9348327,-85.8613159,D ,,8,,3444,1,46040
563,Franklin,IN,Franklin IN,39.5012345,-86.11832,T,,5,2009,23712,1,46131
564,Gary,IN,Gary IN,41.5885265,-87.4679202,LU,,5,2011,80294,1,46402
565,Goshen,IN,Goshen IN,41.5760864,-85.91357,E,2800,1.25,,29383,1,46526
566,Greendale,IN,Greendale IN,39.1276223,-84.8825272,E,3000,4.39,,4296,0.8,46815
567,Greenfield,IN,Greenfield IN,39.7911543,-85.8487591,E,2250,2,2005,14600,1,46140
568,Greentown,IN,Greentown IN,40.4769687,-85.9805895,,,,,2369,1,46936
569,Greenwood,IN,Greenwood IN,39.6041199,-86.172417,E,2800,5,2012,51584,1,46142
570,Griffith,IN,Griffith IN,41.6424477,-87.548875,E ,2200,5.27,2005,17334,1,46319
571,Hammond,IN,Hammond IN,41.5479797,-87.4914088,LU ,,5,1999,76618,1,46320
572,Highland,IN,Highland IN,41.5479797,-87.4914088,T ,,8.69,,64322,1,46322
573,Howard County,IN,Howard County IN,40.4697566,-86.2590224,T ,,7.5,,84964,1,
574,Indianapolis/Marion County,IN,Indianapolis/Marion County IN,39.7799642,-86.272833,IA ,,3.9,2001,791926,1,46201
575,Jamestown ,IN,Jamestown  IN,39.9275461,-86.6462686,LU ,,4.5,2017,,1,46147
576,Jasper,IN,Jasper IN,38.399047,-87.0126351,E ,5000,3.96,2003,12100,1,47546
577,Jeffersonville,IN,Jeffersonville IN,38.3350273,-85.7659425,E ,2500,3.5,,27362,1,47130
578,Kokomo,IN,Kokomo IN,40.4767394,-86.207918,M ,,3.18,,57869,1,46901
579,La Porte,IN,La Porte IN,41.6013895,-86.7845724,,,,2018,21610,1,46350
580,Lafayette,IN,Lafayette IN,40.4050411,-86.8932353,E ,3200,5,2009,56397,1,47901
581,Lake County,IN,Lake County IN,41.5727647,-87.3364789,F ,,3.3,,484564,1,
582,Lake Station,IN,Lake Station IN,41.5727647,-87.3364789,F ,,8.33,,12572,1,46405
583,Lebanon,IN,Lebanon IN,40.0527497,-86.5074923,E ,3000,4.75,,15259,1,46052
584,Leo Cedarville,IN,Leo Cedarville IN,41.2184198,-85.0513289,V ,,6.3,,2782,0.8,46765
585,Logansport,IN,Logansport IN,40.7411638,-86.4184281,T ,,12.49,,19684,1,46947
586,Lowell,IN,Lowell IN,41.2966936,-87.4494398,LU ,,7,2012,9661,1,46356
587,Marion,IN,Marion IN,40.5351239,-85.6705823,E ,2521,5,2001,31320,1,46952
588,McCordsville,IN,McCordsville IN,39.9026116,-85.938757,E ,2250,7.5,2005,1134,1,46055
589,Merrillville,IN,Merrillville IN,41.4784254,-87.4468192,LU ,,5,2009,32147,1,46410
590,Middletown,IN,Middletown IN,40.0589419,-85.5509753,D ,,8.25,,2357,1,47356
591,Monroe County,IN,Monroe County IN,39.1734162,-86.641627,E ,5200,2.93,2011,137974,1,
592,Muncie,IN,Muncie IN,40.1948788,-85.4576005,V ,,9,2005,70087,1,47302
593,Munster,IN,Munster IN,41.5521255,-87.5378233,F ,,14.76,,22346,1,46321
594,New Albany,IN,New Albany IN,38.3145902,-85.8937056,E ,2500,4.17,2005,37603,1,47150
595,New Castle,IN,New Castle IN,39.9026603,-85.4088913,F ,,6,,17780,1,47362
596,New Haven,IN,New Haven IN,41.0739362,-85.099387,E ,2534,5.35,,12406,1,46774
597,North Manchester,IN,North Manchester IN,41.0062197,-85.8091998,E ,2650,3.45,1994,5932,1,46962
598,North Vernon,IN,North Vernon IN,39.0162488,-85.6574239,W ,,3.75,2008,6727,1,47265
599,Ossian,IN,Ossian IN,40.8778077,-85.185075,T ,,8,2005,2943,1,46777
600,Peru,IN,Peru IN,40.7603623,-86.158887,E ,3497,4,,12994,1,46970
601,Pittsboro,IN,Pittsboro IN,39.6996924,-86.4536979,F ,,3.5,,1588,1,46167
602,Plainfield,IN,Plainfield IN,39.6996924,-86.4536979,E ,3000,8.34,,18396,1,46168
603,Plymouth,IN,Plymouth IN,41.3459311,-86.3547087,T ,,2.05,,9840,1,46563
604,Portage,IN,Portage IN,41.4901655,-87.356272,E ,3500,12,2009,36828,1,46368
605,Porter County,IN,Porter County IN,41.4906799,-87.3562742,,,10,2016,164343,1,
606,Princeton,IN,Princeton IN,38.3537412,-87.6477871,,,3,2021,8684,1,47670
607,Richmond,IN,Richmond IN,39.8155683,-84.958814,D ,,6,,39124,1,47374
608,Seymour,IN,Seymour IN,38.9455946,-85.9504865,E ,2840,4,,,1,47274
609,Shelbyville,IN,Shelbyville IN,39.5468955,-85.8438435,F ,,6,,17951,1,46176
610,South Bend,IN,South Bend IN,41.6746354,-86.4159668,D ,,2,2019,102245,1,46601
611,Southport,IN,Southport IN,39.6588985,-86.1192965,E ,4440,6,2016,1763,0.9,46227
612,Trafalgar,IN,Trafalgar IN,39.4136357,-86.167086,D ,,5,2014,1232,1,46181
613,Troy,IN,Troy IN,37.9962044,-86.8011635,E ,,5,2013,401,0.9,47588
614,Valparaiso,IN,Valparaiso IN,41.4754037,-87.1234549,T ,,12.5,1998,27428,1,46383
615,Vincennes,IN,Vincennes IN,38.6855336,-87.5789915,E ,2800,3,,18701,1,47591
616,Wabash,IN,Wabash IN,40.8014798,-85.91262,E ,3675,,,10666,1,46992
617,Warrick County,IN,Warrick County IN,38.0627012,-87.3854136,E ,3100,5,2006,52383,1,
618,Warsaw,IN,Warsaw IN,41.2475568,-85.9068235,E ,3550,2.95,,,1,46580
619,Washington,IN,Washington IN,38.6584098,-87.2084518,E ,2558,4.25,2004,11380,1,47501
620,West Layfayette,IN,West Layfayette IN,40.4526508,-86.9518622,E,3200,8,2013,30419,1,47906
621,Westfield,IN,Westfield IN,40.047404,-86.2354423,T,,4.16,2008,9293,1,46074
622,Whiteland,IN,Whiteland IN,39.5511982,-86.1205247,E,3704,7.5,2010,4169,1,46184
623,Winfield,IN,Winfield IN,41.4093034,-87.328385,E,4343,6,2010,4530,0.8,46307
624,Yorktown,IN,Yorktown IN,40.1910597,-85.5098739,E ,2500,2,,4785,1,47396
625,Zionsville,IN,Zionsville IN,39.9608843,-86.3141628,E,4400,3.86,2010,24159,1,46077
626,Abilene,KS,Abilene KS,38.9220278,-97.2665808,T ,,3.25,1999,6844,1,67410
627,Andover,KS,Andover KS,37.6868403,-97.1656893,T ,,2,2005,6698,1,67002
628,Arkansas City,KS,Arkansas City KS,37.0900104,-97.0686693,D ,,3,1993,11963,1,67005
629,Bonner Springs,KS,Bonner Springs KS,39.076221,-94.9479725,D ,,3,,7093,1,66012
630,Caldwell,KS,Caldwell KS,37.0346721,-97.626677,D,,1,,1043,1,67022
631,Coffeyville,KS,Coffeyville KS,37.0513885,-95.6990421,D ,,7,2006,10387,1,67337
632,Derby,KS,Derby KS,37.5552611,-97.2840955,E,2233,3,2012,22158,1,67037
633,Dodge City,KS,Dodge City KS,37.7598208,-100.069403,T ,,1.28,2009,25176,1,67801
634,El Dorado,KS,El Dorado KS,37.8098842,-96.9292656,E ,2314,3,2008,12057,1,67042
635,Eudora,KS,Eudora KS,38.9299538,-95.1334669,F ,,3.25,2007,4307,1,66025
636,Fairway,KS ,Fairway KS ,39.0248451,-94.645311,E ,3200,5,,3952,0.5,
637,Garden City,KS,Garden City KS,37.9792935,-100.8783031,T ,,1.5,,26658,1,
638,Hays,KS,Hays KS,38.8809775,-99.3881276,E ,3369,3.62,2011,20013,1,
639,Hiawatha,KS,Hiawatha KS,39.8503782,-95.5758958,D ,,4,2009,3417,1,
640,Hutchinson,KS,Hutchinson KS,38.0571907,-97.976389,T ,,4.75,2015,40787,1,
641,Junction City,KS,Junction City KS,39.0380009,-96.8798479,T ,,5,,18886,1,
642,Kansas City,KS,Kansas City KS,39.1233472,-94.8184657,F,,3.85,,146453,1,
643,Lawrence,KS,Lawrence KS,38.97355,-95.2859463,E ,2366,4.5,1997,80098,1,
644,Leavenworth,KS,Leavenworth KS,39.3115554,-94.9929075,T ,,7,2018,36210,1,
645,Lenexa,KS,Lenexa KS,38.9540135,-94.8069826,E ,2750,9.08,2000,40238,0.9,
646,Manhattan,KS,Manhattan KS,39.1682873,-96.6549238,T ,,5.34,1992,44831,1,
647,McPhereson,KS,McPhereson KS,38.3704146,-97.7267065,E ,,7,,13155,1,
648,Mission,KS,Mission KS,39.0258465,-94.655912,E ,2600,19,2004,9727,0.9,
649,Mission Hills,KS,Mission Hills KS,39.0171759,-94.6189665,-,,,2012,3498,0.9,
650,Olathe,KS,Olathe KS,38.8967371,-94.8910751,A ,,5.77,,114662,1,
651,Ottawa,KS,Ottawa KS,38.5922333,-95.2977624,E,2600,4,2012,12620,1,
652,Overland Park,KS,Overland Park KS,38.905672,-94.6843604,E,2485,2,2001,149080,0.9,
653,Paola,KS,Paola KS,38.5794397,-94.8991344,F,,3,,5602,1,
654,Parsons,KS,Parsons KS,37.3438822,-95.4437502,D,,3.5,2008,11514,1,
655,Pittsburg,KS,Pittsburg KS,37.4169254,-94.7396133,E,3106,3.86,2003,19243,1,
656,Prairie Village,KS,Prairie Village KS,38.986083,-94.6345749,IA,,10,2008,21447,0.9,
657,Shawnee,KS,Shawnee KS,39.0129707,-95.8481135,E,2773,6,2004,64680,1,
658,Topeka,KS,Topeka KS,39.0129707,-95.8481135,T,,5,1996,122377,1,
659,Valley Center,KS,Valley Center KS,37.8283933,-97.4048568,T,,5.5,2008,4883,1,
660,Wamego,KS,Wamego KS,39.2049982,-96.3425703,D,,5.5,,,1,
661,Westwood,KS,Westwood KS,39.0387214,-94.6230638,V ,,6,2013,1658,0.8,
662,Wichita,KS,Wichita KS,37.6647979,-97.5837234,E,2139,3,,344284,1,
663,Winfield,KS,Winfield KS,37.284361,-97.0697191,D,,2,1991,11900,1,
664,Danville,KY,Danville KY,37.6437497,-84.8505345,E,3813,3.36,2007,15385,1,
665,Glasgow,KY,Glasgow KY,37.0063099,-85.9989946,T,,2,2012,14059,1,
666,Henderson,KY,Henderson KY,37.8416797,-87.6564351,E,3000,5,1998,27373,1,
667,Hopkinsville,KY,Hopkinsville KY,36.7999603,-87.6020942,E,3350,3,2006,260512,1,
668,Lexington/Fayette County,KY,Lexington/Fayette County KY,38.0285173,-84.6116482,E,2500,4.9,2009,693604,1,
669,Louisville/Jefferson Co.,KY,Louisville/Jefferson Co. KY,38.1889916,-85.8168536,E,2500,10.58,1987,30089,1,
670,Murray,KY,Murray KY,36.6169218,-88.3584784,D,,1.5,2004,14950,1,
671,Oldham County,KY,Oldham County KY,38.4047271,-85.5307653,E,6000,3.91,2008,40502,1,
672,Radcliff,KY,Radcliff KY,37.8117107,-86.00273,E,2800,5.26,2003,21961,1,
673,Sanitation District 1,KY,Sanitation District 1 KY,39.0307124,-84.5340109,E,2600,4.54,2003,290000,1,
674,Vine Grove,KY,Vine Grove KY,37.814953,-85.996547,E,,5,2020,6310,1,
675,Warren County,KY,Warren County KY,36.9835924,-86.5340677,D,,4,2007,43226,1,
676,Bellingham,MA,Bellingham MA,42.0765087,-71.5421728,E,3025,8,2020,17182,1,
677,Braintree,MA,Braintree MA,42.0843627,-71.097703,E,2780,2.08,,8380,1,
678,Brockton,MA,Brockton MA,42.1826846,-71.1920479,F,,2,2020,95777,1,
679,Canton,MA,Canton MA,42.1826846,-71.1920479,,,7,,,1,
680,Chelmsford,MA,Chelmsford MA,42.6016701,-71.4260559,T,,3.33,2017,33802,1,
681,Chicopee,MA,Chicopee MA,42.1711211,-72.6413195,E,2000,8.33,1998,54653,1,
682,Fall River,MA,Fall River MA,41.6855104,-71.2447918,E,2800,13.33,2008,91938,1,
683,Gloucester,MA,Gloucester MA,42.6327796,-70.8027396,F,,4.42,2011,30273,1,
684,Longmeadow,MA,Longmeadow MA,42.0483386,-72.6047734,T,3400,4.43,2017,15827,1,
685,Millis,MA,Millis MA,42.1662722,-71.3962883,T,,5.5,2017,8216,1,
686,Milton,MA,Milton MA,42.2392962,-71.1161684,T,,5.08,2016,27003,1,
687,Newton,MA,Newton MA,42.3253516,-71.2837174,T,,6.25,2006,83829,1,
688,Northampton ,MA,Northampton  MA,42.3295053,-72.8034821,T ,,7.85,2014,28592,1,
689,Pepperell ,MA,Pepperell  MA,42.6655217,-71.6651825,F ,,5,2019,12146,1,
690,Reading,MA,Reading MA,42.5335331,-71.1386263,D,,3.33,2006,24145,1,
691,Shrewsbury,MA,Shrewsbury MA,42.2866726,-71.783872,T,,7.5,2019,37387,1,
692,Westfield,MA,Westfield MA,42.1403047,-72.9092711,F,,,2010,41094,1,
693,Westford,MA,Westford MA,42.5902411,-71.5118414,E,3500,6.25,2019,24310,1,
694,Yarmouth,MA,Yarmouth MA,41.6683809,-70.2874352,,,,,23793,0.8,
695,Annapolis,MD,Annapolis MD,38.9725304,-76.5397138,T,,3.33,2003,35838,1,
696,Anne Arundel County,MD,Anne Arundel County MD,38.9744648,-76.8751092,T,,,2013,544403,1,
697,Baltimore,MD,Baltimore MD,39.2848183,-76.6905364,E,1050,5,2013,619493,1,
698,Baltimore County,MD,Baltimore County MD,39.4391568,-76.871768,-,,,2013,809641,1,
699,Berlin,MD,Berlin MD,38.3323823,-75.2464253,D,,4.16,2013,4491,1,
700,Centreville,MD,Centreville MD,39.0428938,-76.0950193,E,3200,2.5,2013,4334,1,
701,Charles County,MD,Charles County MD,38.4978892,-77.0890248,F,,5.08,,120546,0.8,
702,Frederick,MD,Frederick MD,39.4405686,-77.454222,E ,1000,1.25,2013,,1,
703,Frederick County,MD,Frederick County MD,39.4703534,-77.672117,F,,0.01,2013,236745,1,
704,Gaithersburg,MD,Gaithersburg MD,39.1355857,-77.2847611,IA ,,11.22,2015,,1,
705,Hagerstown,MD,Hagerstown MD,39.6368232,-77.7577229,E ,1000,2.67,2020,,1,
706,Harford County,MD,Harford County MD,39.4879849,-76.4426605,D,,7,2013,246849,1,
707,Howard County,MD,Howard County MD,39.236328,-77.082304,E,3000,7.5,2013,293142,0.8,
708,Montgomery County,MD,Montgomery County MD,39.144105,-77.3481781,E,2406,8.69,2002,873341,1,
709,Prince George's County,MD,Prince George's County MD,38.8335633,-77.1595678,E,2465,3.46,2013,871233,1,
710,Rockville,MD,Rockville MD,39.0869125,-77.2161883,E ,2330,11,2007,47388,1,
711,Salisbury,MD,Salisbury MD,38.3774171,-75.6600986,E ,3344,1.67,2014,31507,1,
712,Silver Spring,MD,Silver Spring MD,39.036289,-77.010948,- ,,7.66,,76540,1,
713,Takoma Park,MD,Takoma Park MD,38.9820252,-77.021418,E ,1228,7.67,1996,17299,1,
714,Augusta,ME,Augusta ME,44.3333464,-69.870774,E ,2700,7.54,,18560,1,
715,Bangor,ME,Bangor ME,44.829648,-68.8590188,E,3000,1.83,2012,33011,1,
716,Lewiston,ME,Lewiston ME,44.0868902,-70.2400045,D ,,5,2006,35690,1,
717,Long Creek Watershed,ME,Long Creek Watershed ME,43.6669249,-70.3515969,D ,,6.89,2010,,0.5,
718,Portland,ME,Portland ME,43.6669249,-70.3515969,E ,1200,6.75,,,1,
719,Adrian,MI,Adrian MI,41.9001371,-84.119557,-,,,2012,21122,1,
720,Ann Arbor,MI,Ann Arbor MI,42.2732991,-83.8077289,T,,16.01,1980,114024,1,
721,Berkley,MI,Berkley MI,42.5487221,-83.2529758,E,2600,5.18,2001,15531,1,
722,Birmingham,MI,Birmingham MI,42.5487221,-83.2529758,E,4317,16.75,2017,21007,1,
723,Chelsea,MI,Chelsea MI,42.3141144,-84.0382806,A,,,,,1,
724,Detroit,MI,Detroit MI,42.3528165,-83.1692446,A,,29.85,1979,951270,1,
725,Jackson,MI,Jackson MI,42.2373352,-84.4307008,-,,,2011,36316,1,
726,Lansing,MI,Lansing MI,42.7087864,-84.6294671,V ,,,1995,119128,1,
727,Marquette,MI,Marquette MI,46.6104099,-87.6294151,T,,,,19661,1,
728,New Baltimore,MI,New Baltimore MI,42.6785971,-82.7695042,D,,2,2005,7405,1,
729,Saint Clair Shores,MI,Saint Clair Shores MI,42.4957637,-82.9268788,D,,2.84,2017,59635,1,
730,Albert Lea,MN,Albert Lea MN,43.6530821,-93.428728,V ,,,2005,17967,1,
731,Albertville,MN,Albertville MN,45.2363629,-93.6958808,V ,,,,7044,1,
732,Alexandria,MN,Alexandria MN,45.8763606,-95.4461678,T,,4.5,2005,8820,1,
733,Andover,MN,Andover MN,45.2550837,-93.4060559,R,,,2003,30222,1,
734,Annandale,MN,Annandale MN,45.2641611,-94.1547583,D ,,3.25,,3228,1,
735,Anoka,MN,Anoka MN,45.2098135,-93.4270362,R,,3.9,2003,18076,1,
736,Apple Valley,MN,Apple Valley MN,44.7467855,-93.2701749,R,,6.52,1988,45527,0.5,
737,Arden Hills,MN,Arden Hills MN,45.071889,-93.2027808,R,,4.49,1993,9642,1,56138
738,Ashby,MN,Ashby MN,46.0931372,-95.8293486,R,,,2005,444,1,56309
739,Austin,MN,Austin MN,43.6740751,-93.0437779,A,,4,2003,24834,1,55912
740,Barnesville,MN,Barnesville MN,46.6496813,-96.4510977,F ,,2.61,,2563,1,56514
741,Baxter,MN,Baxter MN,46.3384016,-94.3433823,IA ,,2.63,2006,7642,1,56425
742,Belle Plaine,MN,Belle Plaine MN,44.6212331,-93.8358279,F,,3.56,1999,6792,1,56011
743,Bemidji,MN,Bemidji MN,47.4757106,-94.9446333,T,,6.44,,13657,1,56601
744,Benson,MN,Benson MN,45.3162691,-95.6432098,R,,,2012,3091,1,56215
745,Big Lake,MN,Big Lake MN,45.3394836,-93.8060653,R ,,4.93,,10060,1,55309
746,Bird Island,MN,Bird Island MN,44.7629037,-94.9151465,F,,5,2007,1027,1,55310
747,Blaine,MN,Blaine MN,45.1652204,-93.2747188,R,,2.67,2007,57584,0.5,
748,Blooming Prairie,MN,Blooming Prairie MN,43.8678991,-93.0715621,V ,,,,1996,1,55917
749,Bloomington,MN,Bloomington MN,44.8242664,-93.4381388,R,,5.95,1988,84057,0.5,55917
750,Brainerd,MN,Brainerd MN,46.3514781,-94.2649338,R,,,2002,13646,1,56401
751,Brooklyn Center,MN,Brooklyn Center MN,45.1087975,-93.4103558,R,,5.02,1991,30529,0.5,
752,Brooklyn Park,MN,Brooklyn Park MN,45.1087975,-93.4103558,R,,14.38,2002,76853,0.5,
753,Browerville,MN,Browerville MN,46.0793912,-94.8799756,F,,6,,788,1,56438
754,Buffalo,MN,Buffalo MN,45.1748351,-93.9386314,R,,,1986,15665,1,55313
755,Burnsville,MN,Burnsville MN,44.7730756,-93.3456084,R,,6.99,2012,60828,1,55306
756,Byron,MN,Byron MN,44.0397356,-92.6782523,R,,,2008,,1,55920
757,Caledonia,MN,Caledonia MN,43.6342581,-91.5365122,E,4000,,2018,2752,1,55921
758,Cambridge,MN,Cambridge MN,45.554383,-93.2994504,R ,,,2000,8209,1,55008
759,Canby,MN,Canby MN,44.7144451,-96.3119918,V ,,,,1795,1,56220
760,Cannon Falls,MN,Cannon Falls MN,44.5121306,-92.9323632,R ,,,2009,4086,1,55009
761,Carver,MN,Carver MN,44.7548172,-93.659831,T ,,,2004,3790,1,55315
762,Centerville,MN ,Centerville MN ,45.1621105,-93.0936198,A ,,4.33,1997,3818,0.5,
763,Champlin,MN,Champlin MN,45.1816356,-93.4105998,R ,,2.5,2008,23418,1,
764,Chanhassen,MN,Chanhassen MN,44.816458,-93.6800375,T ,,4.96,2007,23358,1,
765,Chaska,MN,Chaska MN,44.816458,-93.6800375,R ,,10.14,,23770,1,
766,Chokio,MN,Chokio MN,45.5731667,-96.1833423,V ,,,,400,1,
767,Circle Pines,MN,Circle Pines MN,45.1388386,-93.1681416,F ,,6,2005,4953,1,
768,Clarks Grove,MN,Clarks Grove MN,43.7628166,-93.3440195,V ,,,,706,1,
769,Cloquet,MN,Cloquet MN,46.7219926,-92.5577387,E ,4312,4,2011,12148,1,
770,Cologne,MN,Cologne MN,44.7711926,-93.8327523,V ,,,2005,1519,1,
771,Columbia Heights,MN ,Columbia Heights MN ,45.1655637,-93.3896949,R ,,,1999,19632,0.5,
772,Coon Rapids,MN ,Coon Rapids MN ,45.1655637,-93.3896949,R ,,3.47,2002,61904,0.5,
773,Cottage Grove,MN,Cottage Grove MN,44.8163364,-93.0820479,R ,,5,2001,35052,1,55016
774,Crosby,MN,Crosby MN,46.4895206,-93.9924068,R ,,,,2386,1,56441
775,Crystal,MN,Crystal MN,45.0361802,-93.3970182,R ,,19.15,1991,22463,0.5,55323
776,Dassel,MN,Dassel MN,45.0843847,-94.3514664,LU ,,2,2001,1467,1,55325
777,Deephaven,MN,Deephaven MN,44.9276747,-93.5433196,F ,,5,1994,3693,1,
778,Delano,MN,Delano MN,45.0378711,-93.8287943,R ,,,,5541,1,55328
779,Detroit Lakes,MN,Detroit Lakes MN,46.8072706,-95.9241313,R ,,,,8641,1,56501
780,Duluth,MN,Duluth MN,46.7651382,-92.2509863,E ,1708,6.75,1998,86227,1,55801
781,Dundas,MN,Dundas MN,44.4281225,-93.2142962,R ,,,,1371,1,55019
782,Eagan,MN,Eagan MN,44.8186225,-93.236503,R ,,,1990,64765,1,55122
783,East Grand Forks,MN,East Grand Forks MN,47.9246502,-97.0863477,R ,,,,8601,1,56721
784,Eden Prairie,MN,Eden Prairie MN,44.8455126,-93.4947038,LU ,,15.1,1993,61657,1,55344
785,Edina,MN,Edina MN,44.895195,-93.3601305,R ,,11.6,1985,48620,0.9,55424
786,Elko-New Market,MN,Elko-New Market MN,44.56859,-93.3785353,R ,,8.97,2000,4194,0.5,89883
787,Excelsior,MN,Excelsior MN,44.9021116,-93.5832843,R ,,38.1,1999,2219,1,55331
788,Eyota,MN,Eyota MN,43.9853686,-92.253738,F ,,2,,1998,1,55934
789,Fairfax,MN,Fairfax MN,44.5267656,-94.7450126,R ,,12.5,1995,1218,1,55332
790,Fairmont,MN,Fairmont MN,43.6418051,-94.5298528,R ,,,1987,10589,1,56031
791,Falcon Heights,MN ,Falcon Heights MN ,44.9881141,-93.2120129,R ,,7.33,1986,5381,0.5,
792,Faribault,MN,Faribault MN,44.3035612,-93.3494748,E ,3500,3.8,2001,23450,1,55021
793,Farmington,MN,Farmington MN,44.6558885,-93.2322649,R ,,7.08,1989,21267,1,55024
794,Fergus Falls,MN,Fergus Falls MN,46.2786366,-96.1643048,T ,,7.25,1997,13125,1,56537
795,Forest Lake,MN,Forest Lake MN,45.25358,-93.0274428,R ,,3.33,2008,18619,1,55025
796,Frazee,MN,Frazee MN,46.7279187,-95.7192725,R ,,,2005,1360,1,56544
797,Fridley,MN,Fridley MN,45.0800398,-93.2966698,R ,,9.86,1985,27398,1,
798,Gaylord,MN,Gaylord MN,44.5562676,-94.2450823,R ,,,,2275,1,55334
799,Glencoe,MN,Glencoe MN,44.7679246,-94.1883792,R ,,,1993,5598,1,55336
800,Glyndon,MN,Glyndon MN,46.8715727,-96.5964315,F ,,9.5,2007,1413,1,56547
801,Golden Valley,MN,Golden Valley MN,44.9916965,-93.3590741,T ,,8,1992,20655,0.9,55427
802,Grand Rapids,MN,Grand Rapids MN,47.2281346,-93.6051213,T ,,7.5,2004,10862,1,55730
803,Hamburg,MN,Hamburg MN,44.7328382,-93.9722587,D ,,27,,513,1,55339
804,Hanover,MN,Hanover MN,45.1559501,-93.7032278,R ,,8.5,,2980,1,55341
805,Harmony,MN,Harmony MN,43.5551757,-92.0235014,D ,,1,2009,1020,1,55939
806,Hastings,MN,Hastings MN,44.7315581,-92.8911912,R ,,6.2,2010,22359,1,55033
807,Hermantown,MN,Hermantown MN,46.8076761,-92.308211,IA ,,7,2019,9414,0.8,55810
808,Hopkins,MN,Hopkins MN,44.9276616,-93.4351913,R ,,5,1989,17837,1,55305
809,Hutchinson,MN,Hutchinson MN,44.8832715,-94.4449179,R ,,,2001,14093,1,55350
810,Inver Grove Heights,MN,Inver Grove Heights MN,44.8299301,-93.1259399,R ,,8.03,2007,34157,1,55076
811,Isanti,MN,Isanti MN,45.4913053,-93.2748274,E ,3765,7.88,2013,5721,1,55040
812,Jordan,MN,Jordan MN,44.6632166,-93.6670714,R ,,6.16,1995,5583,1,55352
813,Kasson,MN,Kasson MN,44.032928,-92.7832448,R ,,,,5978,1,55944
814,Kenyon,MN,Kenyon MN,44.2728619,-93.0028201,D ,,3.5,,1817,1,55946
815,Lake City,MN,Lake City MN,44.4546924,-92.3087193,V ,,,,5063,1,55041
816,Lake Elmo,MN,Lake Elmo MN,44.9924807,-92.9393442,T ,,,2003,8177,1,55042
817,Lakeville,MN,Lakeville MN,44.6734499,-93.377569,R ,,4.79,1994,56443,1,55044
818,Lamberton,MN,Lamberton MN,44.2304889,-95.2914135,D ,,10.67,,824,1,56152
819,Lauderdale,MN ,Lauderdale MN ,44.9948782,-93.2112307,R ,,,1994,2408,0.5,
820,Le Seuer,MN,Le Seuer MN,44.4720208,-93.9287253,R ,,9.5,2017,4058,1,56058
821,Lexington,MN,Lexington MN,45.1397799,-93.1914255,D ,,2.5,,2049,0.8,55014
822,Lilydale,MN ,Lilydale MN ,44.9048584,-93.1682903,V ,,,,623,0.5,
823,Lindstrom ,MN,Lindstrom  MN,45.3877144,-92.8860373,V ,,,,4442,1,55045
824,Little Falls,MN,Little Falls MN,45.9954607,-94.3969077,R ,,,,8349,1,56345
825,Long Lake,MN,Long Lake MN,45.0547252,-93.6436747,R ,,,1999,1792,1,55356
826,Loretto,MN,Loretto MN,45.0547252,-93.6436747,R ,,15,2003,658,1,55357
827,Luverne,MN,Luverne MN,43.6529552,-96.2541549,R ,,45,,4745,1,56156
828,Madison,MN,Madison MN,45.0132867,-96.2063529,R ,,11.25,2002,1540,1,56256
829,Mahnomen,MN,Mahnomen MN,47.3143837,-95.9815846,R ,,,,5413,1,56557
830,Mahtomedi,MN,Mahtomedi MN,45.0639263,-92.9993993,R ,,9.38,2001,7775,1,
831,Mankato,MN,Mankato MN,44.1835832,-94.0474915,A ,,4.76,,39528,1,56001
832,Mantorville,MN,Mantorville MN,44.065598,-92.7709811,V ,,,,1971,1,55955
833,Maple Lake,MN,Maple Lake MN,45.2332605,-94.0367943,D,,1.15,,2088,1,55358
834,Maple Plain,MN,Maple Plain MN,45.0102613,-93.6695877,T,,2.97,2005,1792,1,55348
835,Mapleton,MN,Mapleton MN,43.924957,-93.9695415,V ,,,,1756,1,56065
836,Maplewood,MN,Maplewood MN,44.9639217,-93.114674,R ,,7.48,2003,38472,0.8,55109
837,Marshall,MN,Marshall MN,44.4529331,-95.863055,R ,,,2003,13700,1,56258
838,Mayer,MN,Mayer MN,44.8860884,-93.9219382,D ,,4,2005,1780,1,55360
839,Medina,MN,Medina MN,45.0327134,-93.6540506,R ,,2.53,2008,4963,0.8,55340
840,Mendota Heights,MN,Mendota Heights MN,44.8905007,-93.2233146,A ,,2.42,1992,11168,0.8,55118
841,Minneapolis,MN,Minneapolis MN,44.970797,-93.331518,E ,1530,13.09,2005,387753,1,55401
842,Minnetonka,MN,Minnetonka MN,44.93821,-93.6074095,A ,,7.08,2003,50435,1,55345
